Date,weekday,XBTUSD.Return,BXBT.Return,Trade.Volume,Trade.Volume change,BAspreadchange,Bid.Ask.Spread,XBTUSD.Percent.Change,No.of.Trade,Order.Imbalance,Trade.Imbalance.OIBUSD.,B.X.variation.abs.,B.X.variation..sign.,Volatility_XBTUSD,Volatility_BXBTUSD,ABS.XBTUSD.Return.,ABS.BXBTUSD.Return.,OIBNUM,OIBXBT,Funding.rate,Volatility_XBTrtn,Volatility_BXBTrtn,OIBNUM_NUMTRANS,Min_t1,Min_t2,Min_t3,Min_t4,Min_t5,Max_t1,Max_t2,Max_t3,Max_t4,Max_t5,OIBNUM_t1,OIBNUM_t2,OIBNUM_t3,OIBNUM_t4,OIBNUM_t5
2019-10-31,5,-0.002452049,-0.002387186,3047547927,0.047275236,0.000687757,0.505208333,0.002452049,753138,11322901,0.008643069,0.529503422,-0.180016717,81.38787583,79.50858363,0.002452049,0.002387186,-0.00006,0.00770324,0.0003,0.006591957,0.006393444,-7.97E-06,-0.028977062,0,-0.036449086,0,0,0,0.023311287,0,0.029630428,0.06421228,-0.21657,0.22506,-0.0831,0.26521,0.04386
2019-11-01,6,0.011751202,0.011323922,2196031702,-0.279410282,-0.00549828,0.502430556,0.011751202,623349,28713,0.076664396,0.452342584,-0.216206147,50.24340528,49.41000409,0.011751202,0.011323922,0.20179,0.082444326,0.0003,0.00409297,0.004239385,0.032371914,-0.002452049,-0.028977062,0,-0.036449086,0,0,0,0.023311287,0,0.029630428,-0.00006,-0.21657,0.22506,-0.0831,0.26521
2019-11-02,7,0.004692557,0.004157724,1233087720,-0.438492751,-0.004146511,0.500347222,0.004692557,414004,-2191060,0.008142308,0.64380358,-0.583705631,42.49451012,42.39584495,0.004692557,0.004157724,-0.05158,0.008445447,0.0003,0.002468615,0.002299406,-0.012458817,0,-0.002452049,-0.028977062,0,-0.036449086,0.011751202,0,0,0.023311287,0,0.20179,-0.00006,-0.21657,0.22506,-0.0831
2019-11-03,1,-0.012867943,-0.011306885,1507073624,0.222194982,0.004857739,0.502777778,0.012867943,443304,-2798196,-0.079725842,0.555934257,-0.310090276,74.04122372,72.31383492,0.012867943,0.011306885,-0.26398,-0.08729323,0.0003,0.003344928,0.003234089,-0.059548301,0,0,-0.002452049,-0.028977062,0,0.004692557,0.011751202,0,0,0.023311287,-0.05158,0.20179,-0.00006,-0.21657,0.22506
2019-11-04,2,0.02334039,0.021842992,2071601009,0.37458514,0.001381215,0.503472222,0.02334039,528366,-17808480,0.122793081,0.883396938,-0.828561623,99.46980455,98.05248997,0.02334039,0.021842992,0.37572,0.131045538,0.000393,0.005594745,0.005460147,0.071109799,-0.012867943,0,0,-0.002452049,-0.028977062,0,0.004692557,0.011751202,0,0,-0.26398,-0.05158,0.20179,-0.00006,-0.21657
2019-11-05,3,-0.011616188,-0.010295078,2138589698,0.032336675,-0.004827585,0.501041667,0.011616188,597937,2904654,-0.061815278,0.820060271,-0.765888968,60.27414815,59.4113527,0.011616188,0.010295078,-0.10613,-0.066926158,0.000697,0.00468075,0.004671581,-0.017749362,0,-0.012867943,0,0,-0.002452049,0.02334039,0,0.004692557,0.011751202,0,0.37572,-0.26398,-0.05158,0.20179,-0.00006
2019-11-06,4,0.003166085,0.002656511,1578464842,-0.261913193,0.01178101,0.506944444,0.003166085,456775,-7575441,0.01485949,1.013930076,-0.990234641,35.98556432,35.31035508,0.003166085,0.002656511,0.02037,0.015236485,0.000672,0.002437928,0.002387299,0.004459526,-0.011616188,0,-0.012867943,0,0,0,0.02334039,0,0.004692557,0.011751202,-0.10613,0.37572,-0.26398,-0.05158,0.20179
2019-11-07,5,-0.014336151,-0.015384961,1704656593,0.079945874,-0.009589041,0.502083333,0.014336151,494827,1421689,-0.123331929,0.83927005,-0.80854904,53.43493315,52.32082443,0.014336151,0.015384961,-0.35079,-0.134244592,0.000542,0.002211777,0.00228456,-0.070891443,0,-0.011616188,0,-0.012867943,0,0.003166085,0,0.02334039,0,0.004692557,0.02037,-0.10613,0.37572,-0.26398,-0.05158
2019-11-08,6,-0.04836871,-0.047334088,3279777209,0.924010515,0.000691564,0.502430556,0.04836871,722495,-14051970,-0.279699339,0.72133136,-0.316158523,186.7345301,182.9249979,0.04836871,0.047334088,-0.48119,-0.311785188,0.000469,0.005844261,0.005713072,-0.066601153,-0.014336151,0,-0.011616188,0,-0.012867943,0,0.003166085,0,0.02334039,0,-0.35079,0.02037,-0.10613,0.37572,-0.26398
2019-11-09,7,0.005767803,0.006077091,1143494672,-0.651349894,-0.004837596,0.5,0.005767803,386174,-13865280,0.021895226,0.33402793,-0.017203827,30.06892649,30.40571687,0.005767803,0.006077091,0.25962,0.024453329,0.0003,0.002903358,0.002959285,0.067228762,-0.04836871,-0.014336151,0,-0.011616188,0,0,0,0.003166085,0,0.02334039,-0.48119,-0.35079,0.02037,-0.10613,0.37572
2019-11-10,1,0.027744613,0.026284512,1750868912,0.531156161,0.004166666,0.502083333,0.027744613,467835,-677069,0.145081738,0.511240356,-0.366766874,110.6346279,109.164061,0.027744613,0.026284512,0.33447,0.161116072,0.0003,0.005783633,0.005905462,0.071493155,0,-0.04836871,-0.014336151,0,-0.011616188,0.005767803,0,0,0.003166085,0,0.25962,-0.48119,-0.35079,0.02037,-0.10613
2019-11-11,2,-0.036101283,-0.035137106,2222292847,0.269251417,0,0.502083333,0.036101283,531744,25610364,-0.181835175,0.499019852,-0.28259096,131.3777475,129.9727225,0.036101283,0.035137106,-0.28376,-0.205533062,0.0003,0.004583498,0.004731514,-0.053364025,0,0,-0.04836871,-0.014336151,0,0.027744613,0.005767803,0,0,0.003166085,0.33447,0.25962,-0.48119,-0.35079,0.02037
2019-11-12,3,0.011586555,0.010656794,2167911140,-0.02447099,0.017289074,0.510763889,0.011586555,533815,6338372,0.016805264,0.48187281,-0.324910687,36.36484726,36.61440092,0.011586555,0.010656794,0.21137,0.017204467,0.0003,0.002471539,0.002420318,0.039596115,-0.036101283,0,0,-0.04836871,-0.014336151,0,0.027744613,0.005767803,0,0,-0.28376,0.33447,0.25962,-0.48119,-0.35079
2019-11-13,4,-0.007418314,-0.00768266,1080815478,-0.501448441,-0.017675051,0.501736111,0.007418314,350399,6005191,0.00152102,0.73240859,-0.694674939,17.58220772,17.89174971,0.007418314,0.00768266,0.08443,0.001466696,0.000312,0.002154511,0.002264252,0.024095388,0,-0.036101283,0,0,-0.04836871,0.011586555,0,0.027744613,0.005767803,0,0.21137,-0.28376,0.33447,0.25962,-0.48119
2019-11-14,5,-0.016186948,-0.015603477,1697709913,0.57076758,-0.002768166,0.500347222,0.016186948,462501,-9821760,-0.096839773,0.564663212,-0.369536822,53.7202349,52.20285315,0.016186948,0.015603477,-0.20737,-0.112374021,0.0003,0.003230288,0.003150605,-0.04483666,-0.007418314,0,-0.036101283,0,0,0,0.011586555,0,0.027744613,0.005767803,0.08443,0.21137,-0.28376,0.33447,0.25962
2019-11-15,6,-0.020162225,-0.019970202,2682084979,0.579825245,0.005551701,0.503125,0.020162225,634624,-1210414,-0.053495627,0.650005101,-0.463041086,73.41336216,71.24765656,0.020162225,0.019970202,-0.05658,-0.064297482,0.0003,0.006169257,0.005731869,-0.008915515,-0.016186948,-0.007418314,0,-0.036101283,0,0,0,0.011586555,0,0.027744613,-0.20737,0.08443,0.21137,-0.28376,0.33447
2019-11-16,7,0.002244404,0.002430577,786045873,-0.706927305,-0.00621118,0.5,0.002244404,271821,-4303912,0.009581563,0.452501431,-0.244906931,15.17407485,15.10092217,0.002244404,0.002430577,0.24089,0.011082662,0.0003,0.001675261,0.001572133,0.08862082,-0.020162225,-0.016186948,-0.007418314,0,-0.036101283,0,0,0,0.011586555,0,-0.05658,-0.20737,0.08443,0.21137,-0.28376
2019-11-17,1,0.00182557,0.001564643,1303273609,0.658012151,0.013194444,0.506597222,0.00182557,357247,-1547780,0.027425923,0.629758079,-0.506908081,32.66603224,32.42358882,0.00182557,0.001564643,0.17677,0.031460049,0.0003,0.004346062,0.004387049,0.049481171,0,-0.020162225,-0.016186948,-0.007418314,0,0.002244404,0,0,0,0.011586555,0.24089,-0.05658,-0.20737,0.08443,0.21137
2019-11-18,2,-0.038864064,-0.039205102,2474151019,0.898412583,-0.013022618,0.5,0.038864064,553784,23120394,-0.261030129,0.757994253,-0.51198968,114.2114944,111.6504428,0.038864064,0.039205102,-0.56062,-0.315707802,0.000396,0.004675847,0.00455278,-0.101234416,0,0,-0.020162225,-0.016186948,-0.007418314,0.00182557,0.002244404,0,0,0,0.17677,0.24089,-0.05658,-0.20737,0.08443
2019-11-19,3,-0.005143907,-0.004824952,2020621821,-0.183306999,0.002777778,0.501388889,0.005143907,470404,-6700439,-0.004849623,0.42696078,-0.196330059,39.46318332,39.29780881,0.005143907,0.004824952,-0.03274,-0.00664585,0.0003,0.002953954,0.002819208,-0.006959975,-0.038864064,0,0,-0.020162225,-0.016186948,0,0.00182557,0.002244404,0,0,-0.56062,0.17677,0.24089,-0.05658,-0.20737
2019-11-20,4,-0.005416051,-0.004751687,1520604781,-0.247457013,-0.002770083,0.5,0.005416051,385685,828734,-0.059214791,0.582683864,-0.431848659,27.04125198,26.31710818,0.005416051,0.004751687,0.02411,-0.073989585,0.0003,0.002784161,0.002870495,0.006251215,-0.005143907,-0.038864064,0,0,-0.020162225,0,0,0.00182557,0.002244404,0,-0.03274,-0.56062,0.17677,0.24089,-0.05658
2019-11-21,5,-0.057614951,-0.057764971,3216585080,1.115332741,0.025,0.5125,0.057614951,627779,6594118,-0.265805954,0.751661326,0.057025264,215.9808284,212.2749112,0.057614951,0.057764971,-0.46273,-0.340930508,0.0003,0.006024488,0.005750782,-0.07370906,-0.005416051,-0.005143907,-0.038864064,0,0,0,0,0,0.00182557,0.002244404,0.02411,-0.03274,-0.56062,0.17677,0.24089
2019-11-22,6,-0.044645788,-0.044072894,5640533528,0.753578217,-0.007452574,0.508680556,0.044645788,1077233,-821282,-0.062571624,1.084863344,1.007218163,221.3165477,220.1591244,0.044645788,0.044072894,-0.10895,-0.087794884,0.000171,0.011527866,0.01161051,-0.010113875,-0.057614951,-0.005416051,-0.005143907,-0.038864064,0,0,0,0,0,0.00182557,-0.46273,0.02411,-0.03274,-0.56062,0.17677
2019-11-23,7,0.004595967,0.004526513,1904791671,-0.662302926,-0.013651878,0.501736111,0.004595967,567839,-13915847,0.029808357,0.751430229,0.637603165,54.11682272,55.06495079,0.004595967,0.004526513,0.23417,0.040280357,-0.000617,0.004948034,0.004946154,0.041238802,-0.044645788,-0.057614951,-0.005416051,-0.005143907,-0.038864064,0,0,0,0,0,-0.10895,-0.46273,0.02411,-0.03274,-0.56062
2019-11-24,1,-0.059092148,-0.058369853,2723772449,0.429958189,0.011072665,0.507291667,0.059092148,690546,2357830,-0.143940933,0.772814359,0.709130443,92.48355784,93.09538433,0.059092148,0.058369853,-0.36988,-0.203406624,-0.000066,0.007667346,0.007547473,-0.053563412,0,-0.044645788,-0.057614951,-0.005416051,-0.005143907,0.004595967,0,0,0,0,0.23417,-0.10895,-0.46273,0.02411,-0.03274
2019-11-25,2,0.032239368,0.032349571,4690779276,0.722162686,0.003422313,0.509027778,0.032239368,1095813,-6546117,0.063008358,0.98844506,0.936419622,243.5642658,242.9926346,0.032239368,0.032349571,0.39057,0.087191238,-0.000067,0.012675695,0.012785727,0.03564203,-0.059092148,0,-0.044645788,-0.057614951,-0.005416051,0,0.004595967,0,0,0,-0.36988,0.23417,-0.10895,-0.46273,0.02411
2019-11-26,3,0.005546974,0.0052696,2548690727,-0.456659421,0.003410641,0.510763889,0.005546974,715425,7304170,0.042666071,0.986322264,0.956934948,53.48500219,53.18829745,0.005546974,0.0052696,0.10851,0.057402082,-0.000294,0.005772418,0.005849601,0.015167208,0,-0.059092148,0,-0.044645788,-0.057614951,0.032239368,0,0.004595967,0,0,0.39057,-0.36988,0.23417,-0.10895,-0.46273
2019-11-27,4,0.052079692,0.05186845,3562514343,0.397782126,0.014276003,0.518055556,0.052079692,863388,-4031834,0.107430279,0.718805058,0.609380518,222.1508191,222.9565852,0.052079692,0.05186845,0.30496,0.142207419,-0.000109,0.010214429,0.010139786,0.035321316,0,0,-0.059092148,0,-0.044645788,0.005546974,0.032239368,0,0.004595967,0,0.10851,0.39057,-0.36988,0.23417,-0.10895
2019-11-28,5,-0.015122372,-0.01398363,2007567886,-0.436474441,-0.034182307,0.500347222,0.015122372,613938,11345423,-0.051015388,0.930343842,0.907796942,57.56238997,57.27302816,0.015122372,0.01398363,-0.17228,-0.069634517,0.000132,0.007435403,0.00736332,-0.028061465,0,0,0,-0.059092148,0,0.052079692,0.005546974,0.032239368,0,0.004595967,0.30496,0.10851,0.39057,-0.36988,0.23417
2019-11-29,6,0.045466811,0.046561467,2298676734,0.145005731,0.006939625,0.503819444,0.045466811,629206,-10002082,0.09275272,0.715952262,0.654219194,124.950218,124.8274396,0.045466811,0.046561467,0.41568,0.120810541,-0.000252,0.006309068,0.006270931,0.066064214,-0.015122372,0,0,0,-0.059092148,0,0.052079692,0.005546974,0.032239368,0,-0.17228,0.30496,0.10851,0.39057,-0.36988
2019-11-30,7,-0.024990314,-0.025133325,1580574227,-0.312398214,-0.004824258,0.501388889,0.024990314,477694,-10341262,-0.090366987,0.912803381,0.877048318,100.4691233,100.5827368,0.024990314,0.025133325,-0.34732,-0.119244864,0.000056,0.005124168,0.005302675,-0.072707633,0,-0.015122372,0,0,0,0.045466811,0,0.052079692,0.005546974,0.032239368,0.41568,-0.17228,0.30496,0.10851,0.39057
2019-12-01,1,-0.019480519,-0.019532171,2330800876,0.474654487,0.011772854,0.507291667,0.019480519,698756,4977683,-0.064674216,0.78966209,0.715826602,57.23960928,56.89857167,0.019480519,0.019532171,-0.15228,-0.088358514,-0.000041,0.006222761,0.006265295,-0.021793015,-0.024990314,0,-0.015122372,0,0,0,0.045466811,0,0.052079692,0.005546974,-0.34732,0.41568,-0.17228,0.30496,0.10851
